"correct","time_1","double_response","time_2"
FALSE,0.6638,FALSE,NA
TRUE,0.5647,FALSE,NA
TRUE,0.6842,FALSE,NA
TRUE,0.6427,FALSE,NA
TRUE,0.8663,FALSE,NA
TRUE,0.7509,FALSE,NA
TRUE,0.7287,FALSE,NA
FALSE,0.5868,FALSE,NA
TRUE,0.4703,FALSE,NA
TRUE,0.5529,FALSE,NA
FALSE,0.453,FALSE,NA
TRUE,0.4623,FALSE,NA
FALSE,0.4251,TRUE,0.0481
TRUE,0.6931,FALSE,NA
TRUE,0.5284,FALSE,NA
TRUE,0.5584,FALSE,NA
FALSE,0.4154,FALSE,NA
TRUE,0.5241,FALSE,NA
FALSE,0.617,FALSE,NA
FALSE,0.6335,FALSE,NA
TRUE,0.5008,FALSE,NA
TRUE,0.5027,FALSE,NA
FALSE,0.588,FALSE,NA
TRUE,0.5363,FALSE,NA
TRUE,0.61,FALSE,NA
TRUE,0.5477,FALSE,NA
FALSE,0.535,TRUE,0.0871
TRUE,0.56,FALSE,NA
TRUE,0.525,FALSE,NA
TRUE,0.5896,FALSE,NA
TRUE,0.4789,FALSE,NA
FALSE,0.5702,FALSE,NA
TRUE,0.7335,FALSE,NA
TRUE,0.508,FALSE,NA
FALSE,0.6754,FALSE,NA
TRUE,0.7349,FALSE,NA
TRUE,0.527,FALSE,NA
TRUE,0.6131,FALSE,NA
TRUE,0.6513,FALSE,NA
TRUE,0.6033,FALSE,NA
TRUE,0.7604,FALSE,NA
TRUE,0.7045,FALSE,NA
TRUE,0.8252,FALSE,NA
FALSE,0.8511,FALSE,NA
FALSE,0.5611,FALSE,NA
FALSE,0.4759,FALSE,NA
TRUE,0.4833,FALSE,NA
TRUE,0.4993,FALSE,NA
TRUE,0.4252,FALSE,NA
TRUE,0.5235,FALSE,NA
TRUE,0.4927,FALSE,NA
FALSE,0.4081,FALSE,NA
TRUE,0.7765,FALSE,NA
TRUE,0.5224,FALSE,NA
FALSE,0.4784,FALSE,NA
TRUE,0.6674,FALSE,NA
TRUE,0.6027,FALSE,NA
TRUE,0.4867,FALSE,NA
FALSE,0.6007,TRUE,0.0317
TRUE,0.4163,FALSE,NA
TRUE,0.4527,FALSE,NA
TRUE,0.4528,FALSE,NA
TRUE,0.5211,FALSE,NA
TRUE,0.4698,FALSE,NA
FALSE,0.6805,FALSE,NA
TRUE,0.6331,FALSE,NA
FALSE,0.506,FALSE,NA
FALSE,0.5886,FALSE,NA
TRUE,0.6602,FALSE,NA
TRUE,0.5172,FALSE,NA
TRUE,0.4487,FALSE,NA
TRUE,0.7888,FALSE,NA
TRUE,0.7037,FALSE,NA
FALSE,0.4873,FALSE,NA
TRUE,0.6316,FALSE,NA
TRUE,0.5239,FALSE,NA
TRUE,0.5959,FALSE,NA
TRUE,0.5539,FALSE,NA
TRUE,0.3886,FALSE,NA
TRUE,0.4468,FALSE,NA
TRUE,0.4616,FALSE,NA
TRUE,0.4352,TRUE,0.0711
TRUE,0.468,FALSE,NA
TRUE,0.3211,FALSE,NA
FALSE,0.4196,FALSE,NA
TRUE,0.529,FALSE,NA
TRUE,0.6531,FALSE,NA
TRUE,0.5855,FALSE,NA
TRUE,0.4742,FALSE,NA
TRUE,0.5457,FALSE,NA
FALSE,0.5114,FALSE,NA
FALSE,0.7308,FALSE,NA
FALSE,0.6514,FALSE,NA
FALSE,0.4688,FALSE,NA
TRUE,0.7173,FALSE,NA
TRUE,0.5454,FALSE,NA
TRUE,0.5321,FALSE,NA
TRUE,0.575,FALSE,NA
FALSE,0.4409,FALSE,NA
FALSE,0.5691,FALSE,NA
TRUE,0.5277,TRUE,0.0481
FALSE,0.5958,FALSE,NA
TRUE,0.5233,FALSE,NA
FALSE,0.5388,FALSE,NA
FALSE,0.5335,FALSE,NA
FALSE,0.4393,FALSE,NA
TRUE,0.5594,FALSE,NA
TRUE,0.5361,FALSE,NA
FALSE,0.582,FALSE,NA
TRUE,0.0378,FALSE,NA
TRUE,1.003,FALSE,NA
TRUE,0.7248,FALSE,NA
TRUE,0.5984,FALSE,NA
TRUE,0.5961,FALSE,NA
TRUE,0.59,FALSE,NA
FALSE,0.593,FALSE,NA
TRUE,0.5262,FALSE,NA
TRUE,0.574,FALSE,NA
FALSE,0.4901,FALSE,NA
TRUE,0.5635,FALSE,NA
TRUE,0.6101,FALSE,NA
