"correct","time_1","double_response","time_2"
TRUE,0.693,FALSE,NA
TRUE,0.6347,FALSE,NA
TRUE,0.633,FALSE,NA
TRUE,0.6316,FALSE,NA
TRUE,0.7098,FALSE,NA
TRUE,0.6916,FALSE,NA
TRUE,0.568,FALSE,NA
TRUE,0.8064,FALSE,NA
TRUE,0.5924,FALSE,NA
FALSE,0.6249,FALSE,NA
FALSE,0.4137,FALSE,NA
TRUE,0.503,FALSE,NA
TRUE,0.9394,FALSE,NA
TRUE,0.7278,FALSE,NA
TRUE,0.6771,FALSE,NA
TRUE,0.4633,FALSE,NA
TRUE,0.581,FALSE,NA
TRUE,0.8333,FALSE,NA
TRUE,0.7008,FALSE,NA
TRUE,0.6357,FALSE,NA
TRUE,0.5656,FALSE,NA
TRUE,0.5902,FALSE,NA
FALSE,0.5934,FALSE,NA
FALSE,1.1837,FALSE,NA
TRUE,0.6499,FALSE,NA
TRUE,0.5434,FALSE,NA
TRUE,0.6741,FALSE,NA
TRUE,0.6048,FALSE,NA
FALSE,0.4936,FALSE,NA
FALSE,0.6015,FALSE,NA
TRUE,0.72,FALSE,NA
TRUE,0.6586,FALSE,NA
FALSE,0.6412,FALSE,NA
TRUE,0.5911,FALSE,NA
TRUE,0.9206,FALSE,NA
TRUE,0.6012,FALSE,NA
TRUE,0.6391,FALSE,NA
TRUE,0.4906,FALSE,NA
TRUE,0.8623,FALSE,NA
TRUE,0.7209,FALSE,NA
FALSE,0.6201,FALSE,NA
TRUE,0.9591,FALSE,NA
TRUE,0.4779,FALSE,NA
TRUE,0.6371,FALSE,NA
TRUE,0.9155,FALSE,NA
TRUE,0.7097,FALSE,NA
TRUE,0.6005,FALSE,NA
FALSE,0.4712,FALSE,NA
FALSE,0.5286,FALSE,NA
TRUE,0.6275,FALSE,NA
TRUE,0.7948,FALSE,NA
TRUE,0.5629,FALSE,NA
TRUE,0.6664,FALSE,NA
TRUE,0.955,FALSE,NA
TRUE,0.7089,FALSE,NA
TRUE,0.6513,FALSE,NA
TRUE,0.6981,FALSE,NA
TRUE,0.638,FALSE,NA
FALSE,0.7259,FALSE,NA
TRUE,0.4977,FALSE,NA
TRUE,0.7641,FALSE,NA
TRUE,0.5159,FALSE,NA
TRUE,0.5348,FALSE,NA
TRUE,0.475,FALSE,NA
TRUE,0.5296,FALSE,NA
TRUE,0.5869,FALSE,NA
TRUE,0.63,FALSE,NA
TRUE,0.5109,FALSE,NA
TRUE,0.5284,FALSE,NA
TRUE,0.5876,FALSE,NA
TRUE,0.708,FALSE,NA
TRUE,0.5251,FALSE,NA
TRUE,0.5024,FALSE,NA
TRUE,0.6254,FALSE,NA
TRUE,0.5525,FALSE,NA
TRUE,0.7715,FALSE,NA
TRUE,0.7174,FALSE,NA
TRUE,0.6127,FALSE,NA
TRUE,0.622,FALSE,NA
TRUE,0.5718,FALSE,NA
TRUE,0.6463,FALSE,NA
TRUE,0.6063,FALSE,NA
FALSE,0.5041,FALSE,NA
TRUE,0.6359,FALSE,NA
TRUE,0.6052,FALSE,NA
TRUE,0.5051,FALSE,NA
FALSE,0.4281,FALSE,NA
TRUE,1.0498,FALSE,NA
FALSE,0.5339,FALSE,NA
TRUE,1.0406,FALSE,NA
TRUE,0.6265,FALSE,NA
TRUE,0.7671,FALSE,NA
TRUE,0.6749,FALSE,NA
TRUE,0.6264,FALSE,NA
TRUE,0.5141,FALSE,NA
TRUE,0.6149,FALSE,NA
TRUE,0.5487,FALSE,NA
TRUE,0.7218,FALSE,NA
TRUE,0.5769,FALSE,NA
TRUE,0.5742,FALSE,NA
TRUE,0.6314,FALSE,NA
TRUE,0.9111,FALSE,NA
TRUE,0.6006,FALSE,NA
TRUE,0.496,FALSE,NA
TRUE,0.6087,FALSE,NA
FALSE,0.5418,FALSE,NA
TRUE,0.5477,FALSE,NA
TRUE,0.5176,FALSE,NA
TRUE,0.4563,FALSE,NA
TRUE,0.4808,FALSE,NA
TRUE,0.7382,FALSE,NA
TRUE,0.7474,FALSE,NA
TRUE,0.5047,FALSE,NA
TRUE,0.4986,FALSE,NA
TRUE,0.5451,FALSE,NA
TRUE,0.655,FALSE,NA
FALSE,0.5542,FALSE,NA
TRUE,0.7904,FALSE,NA
TRUE,0.6246,FALSE,NA
TRUE,0.4213,FALSE,NA
TRUE,0.5054,FALSE,NA
TRUE,0.7298,FALSE,NA
FALSE,0.5852,FALSE,NA
TRUE,0.775,FALSE,NA
TRUE,0.6493,FALSE,NA
TRUE,0.7929,FALSE,NA
TRUE,0.5192,FALSE,NA
TRUE,0.4386,FALSE,NA
TRUE,0.4064,FALSE,NA
TRUE,0.4169,FALSE,NA
TRUE,0.5121,FALSE,NA
TRUE,0.6607,FALSE,NA
TRUE,0.5444,FALSE,NA
FALSE,0.5101,FALSE,NA
TRUE,0.7628,FALSE,NA
TRUE,0.8092,FALSE,NA
TRUE,0.6724,FALSE,NA
TRUE,0.4281,FALSE,NA
TRUE,0.5411,FALSE,NA
TRUE,0.4425,FALSE,NA
TRUE,0.4965,FALSE,NA
TRUE,0.4079,FALSE,NA
TRUE,0.4587,FALSE,NA
TRUE,0.5858,FALSE,NA
TRUE,0.6272,FALSE,NA
TRUE,0.5208,FALSE,NA
TRUE,0.6639,FALSE,NA
FALSE,0.5662,FALSE,NA
FALSE,0.5466,FALSE,NA
TRUE,0.6367,FALSE,NA
TRUE,0.4595,FALSE,NA
TRUE,0.592,FALSE,NA
TRUE,0.5522,FALSE,NA
FALSE,0.404,FALSE,NA
FALSE,0.5625,FALSE,NA
TRUE,0.5292,FALSE,NA
FALSE,0.9594,FALSE,NA
FALSE,0.5174,FALSE,NA
TRUE,0.692,FALSE,NA
TRUE,0.7096,FALSE,NA
FALSE,0.7041,FALSE,NA
TRUE,0.9367,FALSE,NA
FALSE,0.516,FALSE,NA
TRUE,0.7713,FALSE,NA
TRUE,0.5272,FALSE,NA
TRUE,0.527,FALSE,NA
TRUE,0.4796,FALSE,NA
FALSE,0.7697,FALSE,NA
TRUE,0.5889,FALSE,NA
TRUE,0.4264,FALSE,NA
TRUE,0.5405,FALSE,NA
TRUE,0.5857,FALSE,NA
