"correct","time_1","double_response","time_2"
TRUE,1.0551,FALSE,NA
TRUE,0.7347,FALSE,NA
TRUE,0.6745,FALSE,NA
TRUE,0.5617,FALSE,NA
TRUE,0.6695,FALSE,NA
TRUE,0.7479,FALSE,NA
TRUE,0.6562,FALSE,NA
FALSE,0.6488,FALSE,NA
TRUE,0.7797,FALSE,NA
TRUE,0.7343,FALSE,NA
TRUE,0.5741,FALSE,NA
TRUE,0.774,FALSE,NA
TRUE,0.6638,FALSE,NA
TRUE,0.5557,FALSE,NA
TRUE,0.7701,FALSE,NA
TRUE,0.7637,FALSE,NA
TRUE,0.7908,FALSE,NA
TRUE,0.7564,FALSE,NA
TRUE,0.8052,FALSE,NA
TRUE,0.9133,FALSE,NA
TRUE,1.2371,FALSE,NA
TRUE,1.3471,FALSE,NA
TRUE,0.6522,FALSE,NA
TRUE,0.6698,FALSE,NA
TRUE,0.6579,FALSE,NA
TRUE,0.7025,FALSE,NA
TRUE,0.793,FALSE,NA
TRUE,0.5668,FALSE,NA
TRUE,0.7922,FALSE,NA
TRUE,0.7359,FALSE,NA
TRUE,0.794,FALSE,NA
TRUE,1.0248,FALSE,NA
TRUE,0.7838,FALSE,NA
TRUE,0.7065,FALSE,NA
TRUE,0.7367,FALSE,NA
TRUE,0.7677,FALSE,NA
TRUE,0.8014,FALSE,NA
TRUE,0.69,FALSE,NA
TRUE,1.0411,FALSE,NA
TRUE,0.7069,FALSE,NA
TRUE,0.9725,FALSE,NA
TRUE,0.8925,FALSE,NA
TRUE,0.8457,FALSE,NA
TRUE,0.9897,FALSE,NA
TRUE,0.8891,FALSE,NA
TRUE,0.6008,FALSE,NA
TRUE,0.6647,FALSE,NA
TRUE,0.7408,FALSE,NA
TRUE,0.6782,FALSE,NA
TRUE,0.6983,FALSE,NA
TRUE,1.0946,FALSE,NA
TRUE,1.2269,FALSE,NA
TRUE,0.6601,FALSE,NA
TRUE,0.6639,FALSE,NA
TRUE,0.7575,FALSE,NA
TRUE,0.8264,FALSE,NA
TRUE,1.2512,FALSE,NA
TRUE,0.643,FALSE,NA
TRUE,0.824,FALSE,NA
FALSE,0.6263,FALSE,NA
TRUE,0.7099,FALSE,NA
TRUE,0.764,FALSE,NA
TRUE,1.0761,FALSE,NA
TRUE,0.6996,FALSE,NA
TRUE,0.8133,FALSE,NA
TRUE,0.7442,FALSE,NA
TRUE,0.795,FALSE,NA
FALSE,0.7342,FALSE,NA
TRUE,0.4946,FALSE,NA
TRUE,0.6106,FALSE,NA
TRUE,0.7367,FALSE,NA
TRUE,0.7192,FALSE,NA
TRUE,1.0119,FALSE,NA
TRUE,0.7852,FALSE,NA
TRUE,0.7207,FALSE,NA
TRUE,0.8003,FALSE,NA
FALSE,0.801,FALSE,NA
TRUE,0.9015,FALSE,NA
TRUE,0.7166,FALSE,NA
FALSE,0.7177,FALSE,NA
TRUE,1.0159,FALSE,NA
TRUE,0.6415,FALSE,NA
TRUE,0.7733,FALSE,NA
TRUE,0.7,FALSE,NA
TRUE,0.5784,FALSE,NA
TRUE,0.5755,FALSE,NA
TRUE,0.577,FALSE,NA
TRUE,0.5198,FALSE,NA
TRUE,0.5488,FALSE,NA
TRUE,0.7602,FALSE,NA
TRUE,1.0029,FALSE,NA
TRUE,1.0682,FALSE,NA
TRUE,0.6637,FALSE,NA
TRUE,0.7294,FALSE,NA
TRUE,0.8074,FALSE,NA
TRUE,0.585,FALSE,NA
TRUE,0.962,FALSE,NA
TRUE,0.6974,FALSE,NA
TRUE,0.7937,FALSE,NA
TRUE,0.7301,FALSE,NA
TRUE,0.648,FALSE,NA
TRUE,0.8501,FALSE,NA
TRUE,1.5402,FALSE,NA
TRUE,1.2623,FALSE,NA
TRUE,0.9974,FALSE,NA
TRUE,0.8359,FALSE,NA
TRUE,0.6264,FALSE,NA
TRUE,0.9993,FALSE,NA
TRUE,1.166,FALSE,NA
TRUE,0.7579,FALSE,NA
TRUE,0.6238,FALSE,NA
TRUE,0.641,FALSE,NA
TRUE,0.7807,FALSE,NA
TRUE,0.7176,FALSE,NA
TRUE,0.6813,FALSE,NA
TRUE,0.8189,FALSE,NA
TRUE,0.6489,FALSE,NA
TRUE,0.8829,FALSE,NA
TRUE,0.7094,FALSE,NA
TRUE,0.6539,FALSE,NA
TRUE,0.5751,FALSE,NA
FALSE,0.604,FALSE,NA
FALSE,0.5191,FALSE,NA
TRUE,0.7258,FALSE,NA
TRUE,0.6867,FALSE,NA
TRUE,0.9634,FALSE,NA
TRUE,1.1139,FALSE,NA
TRUE,0.6818,FALSE,NA
TRUE,0.9022,FALSE,NA
TRUE,1.0223,FALSE,NA
TRUE,0.4699,FALSE,NA
TRUE,0.8323,FALSE,NA
TRUE,0.7186,FALSE,NA
TRUE,0.8286,FALSE,NA
TRUE,1.1818,FALSE,NA
TRUE,0.8621,FALSE,NA
TRUE,0.6667,FALSE,NA
FALSE,0.7023,FALSE,NA
TRUE,1.1881,FALSE,NA
TRUE,0.7197,FALSE,NA
TRUE,0.6676,FALSE,NA
TRUE,0.6421,FALSE,NA
TRUE,0.9211,FALSE,NA
TRUE,0.8966,FALSE,NA
TRUE,0.8618,FALSE,NA
TRUE,0.9282,FALSE,NA
TRUE,1.0317,FALSE,NA
FALSE,0.6666,FALSE,NA
TRUE,1.0351,FALSE,NA
TRUE,0.9504,FALSE,NA
TRUE,0.5979,FALSE,NA
TRUE,0.8865,FALSE,NA
TRUE,0.7579,FALSE,NA
TRUE,0.7712,FALSE,NA
TRUE,0.9749,FALSE,NA
TRUE,0.851,FALSE,NA
TRUE,0.8964,FALSE,NA
FALSE,0.8499,FALSE,NA
TRUE,1.1712,FALSE,NA
TRUE,0.7898,FALSE,NA
TRUE,0.8197,FALSE,NA
TRUE,0.6486,FALSE,NA
TRUE,0.7335,FALSE,NA
TRUE,0.8856,FALSE,NA
FALSE,0.8608,FALSE,NA
TRUE,1.1231,FALSE,NA
TRUE,1.0076,FALSE,NA
TRUE,0.9737,FALSE,NA
TRUE,0.5233,FALSE,NA
TRUE,0.7495,FALSE,NA
TRUE,0.9252,FALSE,NA
FALSE,0.8432,FALSE,NA
TRUE,0.6796,FALSE,NA
TRUE,0.7843,FALSE,NA
FALSE,2.1313,FALSE,NA
TRUE,0.9303,FALSE,NA
TRUE,0.694,FALSE,NA
TRUE,0.7011,FALSE,NA
TRUE,0.889,FALSE,NA
TRUE,0.5214,FALSE,NA
TRUE,0.6442,FALSE,NA
TRUE,0.7176,FALSE,NA
FALSE,0.6743,FALSE,NA
TRUE,0.6096,FALSE,NA
TRUE,0.8964,FALSE,NA
TRUE,0.8296,FALSE,NA
TRUE,0.8082,FALSE,NA
TRUE,0.7688,FALSE,NA
TRUE,0.7713,FALSE,NA
TRUE,0.9136,FALSE,NA
FALSE,0.7303,FALSE,NA
TRUE,0.6436,FALSE,NA
TRUE,0.7406,FALSE,NA
TRUE,0.8113,FALSE,NA
TRUE,0.8995,FALSE,NA
TRUE,0.6305,FALSE,NA
TRUE,0.6637,FALSE,NA
TRUE,1.0276,FALSE,NA
TRUE,0.6158,FALSE,NA
TRUE,0.6403,FALSE,NA
TRUE,0.8305,FALSE,NA
TRUE,0.7914,FALSE,NA
TRUE,0.6927,FALSE,NA
TRUE,0.682,FALSE,NA
TRUE,0.515,FALSE,NA
TRUE,0.6152,FALSE,NA
TRUE,0.6471,FALSE,NA
FALSE,0.7863,FALSE,NA
TRUE,0.8678,FALSE,NA
TRUE,0.6849,FALSE,NA
TRUE,0.9544,FALSE,NA
TRUE,0.608,FALSE,NA
TRUE,0.7187,FALSE,NA
TRUE,0.7053,FALSE,NA
TRUE,0.7174,FALSE,NA
TRUE,0.5632,FALSE,NA
TRUE,0.7725,FALSE,NA
TRUE,0.8328,FALSE,NA
TRUE,0.7062,FALSE,NA
TRUE,0.5342,FALSE,NA
TRUE,0.5696,FALSE,NA
FALSE,0.9547,FALSE,NA
TRUE,1.1231,FALSE,NA
TRUE,0.6198,FALSE,NA
TRUE,0.6584,FALSE,NA
TRUE,0.7887,FALSE,NA
TRUE,0.7499,FALSE,NA
FALSE,1.288,FALSE,NA
TRUE,0.9536,FALSE,NA
